ID,Zone,Resource,Total_Storage_MWh,Start_Storage_MWh,Change_in_Storage_MWh
27,1,battery,11052.058370113853,0.0,11052.058370113853
40,2,battery,0.0,0.0,0.0
54,3,battery,33182.825261608225,0.0,33182.825261608225
