time_subset,total_hours,total_cost,total_final_capacity,total_generation,total_cost_deviation,total_final_capacity_deviation,total_generation_deviation
10_days,240,19279.687420238,135107.7976877713,455915.2056180624,0.7162776968643073,-4.709935814200308,0.24857666572286835
4_weeks,672,19719.096535448803,137314.37454769542,456161.6149293612,3.0117324677569854,-3.1536610897837054,0.3027581942845197
8_weeks,1344,19298.10175775369,143389.4248291497,455328.49287130847,0.8124734229883465,1.131005977246248,0.11956776878558897
16_weeks,2688,19142.573436109276,141785.81874426454,454784.7169324944,0.0,0.0,0.0
