Segment,Zone,NSE_Price,Max_NSE_MW,Total_NSE_MWh,NSE_Percent_of_Demand
1.0,1.0,18000.0,0.0,0.0,0.0
1.0,2.0,18000.0,0.0,0.0,0.0
1.0,3.0,18000.0,0.0,0.0,0.0
2.0,1.0,1206.0,0.0,0.0,0.0
2.0,2.0,1206.0,0.0,0.0,0.0
2.0,3.0,1206.0,6605.362500000001,47931.38568410238,0.021005352484616442
