C27,C40,C54,C56,C57,C58,hour,SOC27,SOC40,SOC54,SOC56,SOC57,SOC58
0.0,0.0,0.0,914.7729075000044,0.0,5405.291522499994,1,0.0,0.0,0.0,141745.33734405966,233075.32991842402,198730.15751016382
0.0,0.0,0.0,471.522450000001,0.0,4570.337425,2,0.0,0.0,0.0,142122.55530405967,233075.32991842402,202386.4274501638
0.0,0.0,0.0,0.0,0.0,3139.900364999999,3,0.0,0.0,0.0,142122.55530405967,233075.32991842402,204898.3477421638
0.0,0.0,0.0,0.0,0.0,1782.3920249999987,4,0.0,0.0,0.0,142122.55530405967,233075.32991842402,206324.26136216382
0.0,0.0,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,141944.56507280967,232025.86097255192,206324.26136216382
0.0,0.0,0.0,0.0,0.0,0.0,6,0.0,0.0,0.0,140650.70702412352,232025.86097255192,206324.26136216382
0.0,0.0,0.0,0.0,963.2789056678945,0.0,7,0.0,0.0,0.0,140650.70702412352,232796.48409708624,206324.26136216382
0.0,0.0,0.0,0.0,20156.69921661479,2170.7498771429327,8,0.0,0.0,0.0,140650.70702412352,248921.8434703781,208060.86126387818
0.0,0.0,0.0,3669.754335000007,20156.699216614794,5405.291522499995,9,0.0,0.0,0.0,143586.51049212352,265047.2028436699,212385.09448187816
0.0,0.0,0.0,3669.7543350000074,20156.69921661479,5405.291522499994,10,0.0,0.0,0.0,146522.31396012352,281172.56221696176,216709.32769987817
0.0,0.0,0.0,3669.754335000007,20156.699216614794,5405.291522499994,11,0.0,0.0,0.0,149458.1174281235,297297.9215902536,221033.56091787817
0.0,0.0,0.0,3669.754335000007,20156.69921661479,5405.291522499994,12,0.0,0.0,0.0,152393.9208961235,313423.28096354543,225357.79413587818
0.0,0.0,0.0,3669.754335000007,20156.699216614794,5405.291522499995,13,0.0,0.0,0.0,155329.7243641235,329548.6403368372,229682.02735387813
0.0,0.0,0.0,3669.7543350000074,20156.69921661479,5405.291522499994,14,0.0,0.0,0.0,158265.5278321235,345673.99971012905,234006.26057187817
0.0,0.0,0.0,1654.7440356662044,20156.699216614787,5405.291522499994,15,0.0,0.0,0.0,159589.32306065646,361799.3590834208,238330.49378987815
0.0,0.0,0.0,0.0,5448.498417354322,0.0,16,0.0,0.0,0.0,159589.32306065646,366158.15781730425,238330.49378987815
0.0,0.0,0.0,0.0,0.0,0.0,17,0.0,0.0,0.0,155002.13014190644,356761.85708865477,231573.8793867532
0.0,0.0,0.0,0.0,0.0,0.0,18,0.0,0.0,0.0,150414.93722315642,347838.10353506403,226196.901704575
0.0,0.0,0.0,0.0,0.0,0.0,19,0.0,0.0,0.0,145827.7443044064,340717.3726211635,219440.28730144998
0.0,0.0,0.0,0.0,0.0,0.0,20,0.0,0.0,0.0,141240.55138565635,333971.18802468653,212683.67289832502
0.0,0.0,0.0,0.0,0.0,0.0,21,0.0,0.0,0.0,136653.35846690636,328438.63160786463,209026.03442239674
0.0,0.0,0.0,0.0,0.0,0.0,22,0.0,0.0,0.0,132066.16554815634,324614.2742044837,202738.73378518762
0.0,0.0,0.0,0.0,0.0,0.0,23,0.0,0.0,0.0,127478.97262940633,323517.987606272,195982.11938206258
0.0,0.0,0.0,0.0,0.0,0.0,24,0.0,0.0,0.0,122891.7797106563,323517.987606272,190094.51813789087
0.0,0.0,0.0,0.0,0.0,0.0,25,0.0,0.0,0.0,118304.5867919063,323517.987606272,185079.45323759675
0.0,0.0,0.0,0.0,0.0,0.0,26,0.0,0.0,0.0,113717.39387315628,323517.987606272,179203.36289165323
0.0,0.0,0.0,0.0,0.0,0.0,27,0.0,0.0,0.0,109130.20095440629,321123.8844287731,172446.74848852825
0.0,0.0,0.0,0.0,0.0,0.0,28,0.0,0.0,0.0,104543.00803565627,315908.54032199224,165690.13408540326
0.0,0.0,0.0,0.0,0.0,0.0,29,0.0,0.0,0.0,99955.81511690628,306523.2405578932,159916.60309072502
0.0,0.0,0.0,0.0,0.0,0.0,30,0.0,0.0,0.0,95368.62219815626,292889.2305110629,153159.98868760007
0.0,0.0,0.0,0.0,0.0,0.0,31,0.0,0.0,0.0,95368.62219815626,292889.2305110629,153159.98868760007
0.0,0.0,0.0,0.0,15585.72999828216,0.0,32,0.0,0.0,0.0,95368.62219815626,305357.81450968864,153159.98868760007
0.0,0.0,0.0,1536.1768326273773,20156.69921661479,5405.291522499994,33,0.0,0.0,0.0,96597.56366425817,321483.17388298037,157484.22190560005
0.0,0.0,0.0,3669.7543350000074,20156.69921661479,5405.291522499995,34,0.0,0.0,0.0,99533.36713225816,337608.5332562722,161808.45512360008
0.0,0.0,0.0,3669.754335000007,20156.69921661479,5405.291522499994,35,0.0,0.0,0.0,102469.17060025816,353733.892629564,166132.68834160006
0.0,0.0,0.0,3669.754335000007,20156.69921661479,5405.291522499994,36,0.0,0.0,0.0,105404.97406825816,369859.2520028559,170456.9215596001
0.0,0.0,0.0,3669.7543350000074,20156.69921661479,5405.291522499994,37,0.0,0.0,0.0,108340.77753625817,385984.61137614766,174781.15477760008
0.0,0.0,0.0,3669.7543350000074,20156.69921661479,5405.291522499994,38,0.0,0.0,0.0,111276.58100425817,402109.97074943956,179105.38799560012
0.0,0.0,0.0,0.0,20050.703595512572,0.0,39,0.0,0.0,0.0,111276.58100425817,418150.5336258496,179105.38799560012
0.0,0.0,0.0,0.0,0.0,0.0,40,0.0,0.0,0.0,111276.58100425817,418150.5336258496,179105.38799560012
0.0,0.0,0.0,0.0,0.0,0.0,41,0.0,0.0,0.0,106689.38808550817,394522.92805983714,172348.7735924751
0.0,0.0,0.0,0.0,0.0,0.0,42,0.0,0.0,0.0,102448.87199800817,371581.5274743872,165592.15918935015
0.0,0.0,0.0,0.0,0.0,0.0,43,0.0,0.0,0.0,98995.28864800815,363576.71246378194,158835.54478622513
0.0,0.0,0.0,0.0,0.0,0.0,44,0.0,0.0,0.0,95653.21398550816,341742.86649867566,152078.93038310017
0.0,0.0,0.0,0.0,0.0,0.0,45,0.0,0.0,0.0,93543.04482300817,338169.11510127585,145322.31597997516
0.0,0.0,0.0,0.0,0.0,0.0,46,0.0,0.0,0.0,92794.34363550815,322295.7903709032,138565.7015768502
0.0,0.0,0.0,400.15689000000054,0.0,0.0,47,0.0,0.0,0.0,93114.46914750815,308283.31012438785,134435.96924154696
0.0,0.0,0.0,629.5461900000012,0.0,0.0,48,0.0,0.0,0.0,93618.10609950815,299191.24564804585,131728.3841199628
0.0,0.0,0.0,652.4851200000012,0.0,0.0,49,0.0,0.0,0.0,94140.09419550815,285498.8220843935,131340.31467933778
0.0,0.0,0.0,476.6199900000008,0.0,323.2675050000025,50,0.0,0.0,0.0,94521.39018750816,271121.31388490775,131598.9286833378
0.0,0.0,0.0,97.70284999999998,0.0,1701.9089675000016,51,0.0,0.0,0.0,94599.55246750817,259193.16607028595,132960.45585733777
0.0,0.0,0.0,175.86513000000093,0.0,1885.8392900000026,52,0.0,0.0,0.0,94740.24457150817,257369.37320925453,134469.12728933778
0.0,0.0,0.0,0.0,0.0,2267.9360574999982,53,0.0,0.0,0.0,94740.24457150817,232173.49918848605,136283.47613533778
0.0,0.0,0.0,187.75939000000062,0.0,1638.8352225000024,54,0.0,0.0,0.0,94890.45208350815,206977.62516771758,137594.54431333777
0.0,0.0,0.0,93.9441703533159,0.0,4911.359788038258,55,0.0,0.0,0.0,94965.60741979082,205835.90449877182,141523.6321437684
0.0,0.0,0.0,3669.754335000007,15571.068688304962,5405.291522499994,56,0.0,0.0,0.0,97901.41088779081,218292.75944941578,145847.86536176837
0.0,0.0,0.0,3669.7543350000074,20156.69921661479,5405.291522499994,57,0.0,0.0,0.0,100837.2143557908,234418.11882270765,150172.0985797684
0.0,0.0,0.0,3669.754335000007,20156.69921661479,5405.291522499994,58,0.0,0.0,0.0,103773.01782379081,250543.4781959995,154496.3317977684
0.0,0.0,0.0,3669.7543350000074,20156.69921661479,5405.291522499994,59,0.0,0.0,0.0,106708.82129179081,266668.83756929135,158820.56501576846
0.0,0.0,0.0,3669.754335000007,20156.699216614787,5405.291522499994,60,0.0,0.0,0.0,109644.62475979081,282794.19694258313,163144.7982337684
0.0,0.0,0.0,3669.7543350000074,20156.69921661479,5405.291522499994,61,0.0,0.0,0.0,112580.42822779082,298919.556315875,167469.03145176847
0.0,0.0,0.0,3669.7543350000074,20156.699216614794,5405.291522499994,62,0.0,0.0,0.0,115516.2316957908,315044.9156891668,171793.26466976842
0.0,0.0,0.0,3669.754335000007,20156.69921661479,5405.291522499994,63,0.0,0.0,0.0,118452.0351637908,331170.27506245853,176117.4978877685
0.0,0.0,0.0,0.0,4366.01751345077,3413.7544834827513,64,0.0,0.0,0.0,118452.0351637908,334663.0890732192,178848.50147455465
0.0,0.0,0.0,0.0,0.0,266.69982499999816,65,0.0,0.0,0.0,118452.0351637908,316657.1124278206,179061.86133455462
0.0,0.0,0.0,0.0,0.0,0.0,66,0.0,0.0,0.0,115111.3267106658,298206.641600735,179061.86133455462
0.0,0.0,0.0,0.0,0.0,2819.61754,67,0.0,0.0,0.0,115111.3267106658,281068.2223536131,181317.55536655462
0.0,0.0,0.0,0.0,0.0,3495.487005000002,68,0.0,0.0,0.0,115111.3267106658,267441.68422996486,184113.9449705546
0.0,0.0,0.0,0.0,0.0,4098.374952499999,69,0.0,0.0,0.0,115111.3267106658,257816.7602942503,187392.64493255463
0.0,0.0,0.0,3669.754335000007,0.0,924.3004224999934,70,0.0,0.0,0.0,118047.13017866582,252399.3901329332,188132.08527055458
0.0,0.0,0.0,234.5808425000086,0.0,5405.291522499994,71,0.0,0.0,0.0,118234.7948526658,250339.77982359182,192456.31848855462
0.0,0.0,0.0,1638.0095200000014,0.0,5146.064845000002,72,0.0,0.0,0.0,119545.20246866581,250339.77982359182,196573.17036455462
0.0,0.0,0.0,1739.1107299999996,0.0,4294.579662499998,73,0.0,0.0,0.0,120936.4910526658,250274.8280010602,200008.83409455462
0.0,0.0,0.0,1269.2874600000005,0.0,2756.7701150000003,74,0.0,0.0,0.0,121951.92102066579,249708.893969485,202214.2501865546
0.0,0.0,0.0,506.35564000000073,0.0,0.0,75,0.0,0.0,0.0,122357.00553266579,246318.7317034023,201404.7669615546
0.0,0.0,0.0,427.34376999999967,0.0,0.0,76,0.0,0.0,0.0,122698.8805486658,237685.60971262018,201358.0799990546
0.0,0.0,0.0,0.0,0.0,0.0,77,0.0,0.0,0.0,122191.2505236658,222147.74917640505,200439.34265530462
0.0,0.0,0.0,0.0,0.0,0.0,78,0.0,0.0,0.0,121191.92028616578,206857.1157979213,200015.84949141383
0.0,0.0,0.0,0.0,0.0,0.0,79,0.0,0.0,0.0,121191.92028616578,206857.1157979213,200015.84949141383
0.0,0.0,0.0,1656.8758480056981,15179.159661271506,1512.4652133632142,80,0.0,0.0,0.0,122517.42096457035,219000.4435269385,201225.82166210443
0.0,0.0,0.0,199.52062250503027,20156.699216614794,2598.540975851113,81,0.0,0.0,0.0,122677.03746257437,235125.80290023034,203304.6544427853
0.0,0.0,0.0,3669.7543350000074,20156.69921661479,5405.291522499994,82,0.0,0.0,0.0,125612.84093057438,251251.16227352218,207628.8876607853
0.0,0.0,0.0,3669.754335000007,20156.69921661479,5405.291522499994,83,0.0,0.0,0.0,128548.64439857438,267376.521646814,211953.12087878532
0.0,0.0,0.0,3669.754335000007,20156.699216614794,5405.291522499994,84,0.0,0.0,0.0,131484.4478665744,283501.88102010585,216277.3540967853
0.0,0.0,0.0,3669.754335000007,20156.699216614787,5405.291522499994,85,0.0,0.0,0.0,134420.2513345744,299627.24039339763,220601.58731478534
0.0,0.0,0.0,3669.754335000007,20156.69921661479,5405.291522499994,86,0.0,0.0,0.0,137356.0548025744,315752.59976668947,224925.82053278532
0.0,0.0,0.0,0.0,20156.69921661479,4790.834911694929,87,0.0,0.0,0.0,137356.0548025744,331877.95913998125,228758.4884621413
0.0,0.0,0.0,0.0,889.7708822224682,0.0,88,0.0,0.0,0.0,137356.0548025744,332589.7758457592,228758.4884621413
0.0,0.0,0.0,0.0,0.0,0.0,89,0.0,0.0,0.0,132768.86188382434,317120.4393091252,226401.65829217221
0.0,0.0,0.0,0.0,0.0,0.0,90,0.0,0.0,0.0,128665.34218382437,300732.5568842363,219645.04388904726
0.0,0.0,0.0,0.0,0.0,0.0,91,0.0,0.0,0.0,124954.75785882436,285706.5087621418,212888.42948592224
0.0,0.0,0.0,0.0,0.0,0.0,92,0.0,0.0,0.0,122043.85012132436,271762.20408866793,206131.8150827973
0.0,0.0,0.0,0.0,0.0,0.0,93,0.0,0.0,0.0,119423.92695882436,260801.7293355097,199375.20067967227
0.0,0.0,0.0,0.0,0.0,0.0,94,0.0,0.0,0.0,117118.35209632436,252629.68773757253,192618.5862765473
0.0,0.0,0.0,0.0,0.0,0.0,95,0.0,0.0,0.0,114969.95138382437,246940.26371799948,185861.9718734223
0.0,0.0,0.0,0.0,0.0,0.0,96,0.0,0.0,0.0,113083.86158382436,242641.43404195883,179105.35747029734
0.0,0.0,0.0,0.0,0.0,0.0,97,0.0,0.0,0.0,111490.88033382437,237362.1302264374,172348.74306717233
0.0,0.0,0.0,0.0,0.0,0.0,98,0.0,0.0,0.0,109395.57899632436,230419.63977986592,165592.12866404737
0.0,0.0,0.0,0.0,0.0,0.0,99,0.0,0.0,0.0,107204.6987838244,221341.95900342084,158835.51426092235
0.0,0.0,0.0,0.0,0.0,0.0,100,0.0,0.0,0.0,104134.49292132439,207234.57691990607,152078.8998577974
0.0,0.0,0.0,0.0,0.0,0.0,101,0.0,0.0,0.0,100009.7334713244,185840.91212761734,145322.28545467235
0.0,0.0,0.0,0.0,0.0,0.0,102,0.0,0.0,0.0,96417.02975882437,162359.9725332727,138565.67105154743
0.0,0.0,0.0,0.0,0.0,0.0,103,0.0,0.0,0.0,93701.47209012881,162359.9725332727,131809.05664842238
0.0,0.0,0.0,453.1066374447465,10333.967159872935,0.0,104,0.0,0.0,0.0,94063.9574000846,170627.14626117103,131809.05664842238
0.0,0.0,0.0,6.54358595613547,20156.699216614787,572.6393015786853,105,0.0,0.0,0.0,94069.19226884951,186752.5056344629,132267.16808968538
0.0,0.0,0.0,3669.754335000007,20156.69921661479,5405.291522499994,106,0.0,0.0,0.0,97004.99573684951,202877.86500775474,136591.40130768536
0.0,0.0,0.0,3669.754335000007,20156.69921661479,5405.291522499994,107,0.0,0.0,0.0,99940.79920484949,219003.22438104657,140915.6345256854
0.0,0.0,0.0,3669.754335000007,20156.69921661479,5405.291522499994,108,0.0,0.0,0.0,102876.60267284953,235128.58375433838,145239.86774368538
0.0,0.0,0.0,3669.754335000007,20156.699216614787,5405.291522499994,109,0.0,0.0,0.0,105812.40614084952,251253.94312763022,149564.1009616854
0.0,0.0,0.0,38.52201810784418,20156.69921661479,3681.75371043266,110,0.0,0.0,0.0,105843.22375533578,267379.30250092206,152509.50393003153
0.0,0.0,0.0,0.0,17725.83147601888,0.0,111,0.0,0.0,0.0,105843.22375533578,281559.96768173715,152509.50393003153
0.0,0.0,0.0,0.0,0.0,0.0,112,0.0,0.0,0.0,105233.39200331087,281559.96768173715,152509.50393003153
0.0,0.0,0.0,0.0,0.0,0.0,113,0.0,0.0,0.0,101962.47050331088,264814.4064737514,145752.88952690654
0.0,0.0,0.0,187.75938999999988,0.0,0.0,114,0.0,0.0,0.0,102112.67801531087,248793.74056887534,143912.31061943746
0.0,0.0,0.0,0.0,0.0,0.0,115,0.0,0.0,0.0,97838.17832781086,231744.1963515479,137155.69621631247
0.0,0.0,0.0,667.7777400000009,0.0,0.0,116,0.0,0.0,0.0,98372.40051981085,219351.37250720346,132541.58267256248
0.0,0.0,0.0,906.5125300000007,0.0,0.0,117,0.0,0.0,0.0,99097.61054381086,211536.5650384214,129414.25817881248
0.0,0.0,0.0,898.8662200000002,0.0,1654.0482499999994,118,0.0,0.0,0.0,99816.70351981085,207680.5961309852,130737.49677881248
0.0,0.0,0.0,760.3830499999998,0.0,3907.6444325000007,119,0.0,0.0,0.0,100425.00995981086,206606.68264918838,133863.6123248125
0.0,0.0,0.0,546.2863700000008,0.0,4295.84927,120,0.0,0.0,0.0,100862.03905581086,206606.68264918838,137300.2917408125
0.0,0.0,0.0,242.98274000000117,0.0,4927.225840000001,121,0.0,0.0,0.0,101056.42524781085,206606.68264918838,141242.0724128125
0.0,0.0,0.0,39.930730000000295,0.0,5383.016267499999,122,0.0,0.0,0.0,101088.36983181085,206606.68264918838,145548.4854268125
0.0,0.0,0.0,0.0,0.0,5075.982867499998,123,0.0,0.0,0.0,101088.36983181085,206606.68264918838,149609.27172081248
0.0,0.0,0.0,0.0,0.0,5098.576127499997,124,0.0,0.0,0.0,101088.36983181085,204237.87409949157,153688.13262281244
0.0,0.0,0.0,0.0,0.0,3333.756147499999,125,0.0,0.0,0.0,101088.36983181085,193941.80225014515,156355.13754081246
0.0,0.0,0.0,0.0,0.0,2902.4314625,126,0.0,0.0,0.0,101088.36983181085,180864.76880139468,158677.08271081242
0.0,0.0,0.0,0.0,0.0,4341.230883874773,127,0.0,0.0,0.0,101088.36983181085,180864.76880139468,162150.06741791224
0.0,0.0,0.0,3344.787494180691,16508.898388324567,5405.291522499994,128,0.0,0.0,0.0,103764.1998271554,194071.88751205435,166474.30063591225
0.0,0.0,0.0,3669.754335000007,20156.69921661479,5405.291522499994,129,0.0,0.0,0.0,106700.00329515542,210197.2468853462,170798.53385391226
0.0,0.0,0.0,3669.7543350000074,20156.69921661479,5405.291522499994,130,0.0,0.0,0.0,109635.80676315541,226322.606258638,175122.76707191227
0.0,0.0,0.0,3669.754335000007,20156.69921661479,5405.291522499994,131,0.0,0.0,0.0,112571.61023115541,242447.96563192987,179447.00028991228
0.0,0.0,0.0,3669.754335000007,20156.69921661479,5405.291522499994,132,0.0,0.0,0.0,115507.41369915543,258573.32500522168,183771.2335079123
0.0,0.0,0.0,3669.754335000007,20156.69921661479,5405.291522499994,133,0.0,0.0,0.0,118443.21716715541,274698.6843785135,188095.4667259123
0.0,0.0,0.0,3669.754335000007,20156.69921661479,5405.291522499994,134,0.0,0.0,0.0,121379.02063515545,290824.0437518053,192419.6999439123
0.0,0.0,0.0,3669.754335000007,20156.69921661479,5405.291522499994,135,0.0,0.0,0.0,124314.82410315544,306949.4031250971,196743.9331619123
0.0,0.0,0.0,3385.88759784997,6445.77261733463,1098.5010508004477,136,0.0,0.0,0.0,127023.53418143542,312106.02121896483,197622.7340025527
0.0,0.0,0.0,542.8880100000013,0.0,0.0,137,0.0,0.0,0.0,127457.84458943542,303209.37078970094,192846.86761817767
0.0,0.0,0.0,165.67005000000088,0.0,0.0,138,0.0,0.0,0.0,127590.38062943541,295825.8176954888,192772.64324630264
0.0,0.0,0.0,0.0,0.0,661.8540299999989,139,0.0,0.0,0.0,127590.38062943541,290013.4418544294,193302.1264703027
0.0,0.0,0.0,0.0,0.0,516.7965825000036,140,0.0,0.0,0.0,127590.38062943541,285501.0719866068,193715.56373630266
0.0,0.0,0.0,0.0,0.0,310.43905000000035,141,0.0,0.0,0.0,127590.38062943541,283948.24871210795,193963.91497630265
0.0,0.0,0.0,0.0,0.0,2583.0292799999975,142,0.0,0.0,0.0,127590.38062943541,283948.24871210795,196030.33840030263
0.0,0.0,0.0,0.0,0.0,1013.3474075000029,143,0.0,0.0,0.0,127590.38062943541,283948.24871210795,196841.01632630266
0.0,0.0,0.0,0.0,0.0,351.6832975000002,144,0.0,0.0,0.0,127590.38062943541,283948.24871210795,197122.36296430262
